program	rank	gene	loading
P4	39	MARCO	8.42443984894338
P4	40	S100A8	8.28752024290677
P4	41	SDS	7.79008197578774
P4	42	CLEC5A	7.67945909825874
P4	43	ID2	7.44282305777392
P4	44	TUBA1C	7.39969065644698
P4	45	ALCAM	7.31276985918181
P4	46	ISG15	6.66952186423803
P4	47	CD36	6.61845820724993
P4	48	HSPA5	6.54250432024688
P4	49	PDXK	6.20026093140274
P4	50	IL4I1	6.15308823251115
P5	1	HSPA1A	58.3923626962596
P5	2	CCL4	55.3538524323757
P5	3	CCL3	53.9489910121649
P5	4	HSPA1B	52.5639120400123
P5	5	HSP90AA1	42.8461855946431
P5	6	CCL4L2	42.1960046548832
P5	7	CCL3L3	36.2730233457788
P5	8	HSPH1	32.546845987994
P5	9	NEAT1	30.5712175399806
P5	10	EGR1	29.3962798060355
P5	11	APOE	28.273822609291
P5	12	DUSP2	24.5256284080069
P5	13	HSPD1	21.5510631261291
P5	14	VIM	21.3498834811648
P5	15	CXCL8	21.2434777269098
P5	16	CTSD	21.0352790581306
P5	17	ID2	20.9205498940339
P5	18	BAG3	18.9894259379513
P5	19	IER5	18.4179639713165
P5	20	HSPA6	16.4127805922054
P5	21	IL1B	16.3210790856476
P5	22	HLA-DQA2	16.1106932630113
P5	23	EIF4A3	15.791869376883
P5	24	PRDX1	15.3812227309262
P5	25	TNF	15.068656078185
P5	26	APOC1	14.8335725090488
P5	27	PMAIP1	14.4342135583778
P5	28	PHLDA1	14.3933957762799
P5	29	HMOX1	13.9486510291284
P5	30	LMNA	13.7747793277311
P5	31	EGR2	13.5936470598708
P5	32	ZFAND2A	13.4213177846095
P5	33	KLF2	12.6570028917734
P5	34	GPR183	12.6533243908368
P5	35	CTSC	12.6323707487005
P5	36	DNAJA4	12.3497785017685
P5	37	JUND	11.9970497435784
P5	38	CCL2	11.4165663144226
P5	39	OLR1	11.2853208757598
P5	40	LYZ	10.5455240126292
P5	41	KCNQ1OT1	10.4445783486122
P5	42	IRF1	9.58024876488012
P5	43	ID3	9.53139645253949
P5	44	GEM	9.5167151896629
P5	45	PLAU	9.48528012601917
P5	46	RGCC	9.06962018590531
P5	47	OLFML3	9.01602951165773
P5	48	UBE2S	8.95068626181343
P5	49	CXCL2	8.79170073772852
P5	50	SLC5A3	8.67208853920088
P6	1	CXCL10	54.7468892493088
P6	2	IFI27	42.7660647469109
P6	3	ISG15	39.8010093087415
P6	4	CCL2	32.1577342976263
P6	5	MT2A	31.8803838817267
P6	6	IFI6	28.8240694501173
P6	7	GBP1	26.6365991354168
P6	8	IFITM1	22.6990850341068
P6	9	IFIT3	19.0358087159007
P6	10	TNFSF10	17.7894104064671
P6	11	CCL8	16.9691644462335
P6	12	VIM	16.8019575112893
P6	13	CXCL9	16.3895530621931
P6	14	GBP5	16.1594816378091
P6	15	PRDX1	15.9027180317955
P6	16	TXN	15.6595689898196
P6	17	LYZ	14.2338203955498
P6	18	WARS	14.1609624000684
P6	19	CCL4	14.111669761641
P6	20	ANXA2	14.011640176117
P6	21	IFIT2	13.8555628478424
P6	22	IFIT1	13.8106676318919
P6	23	ISG20	13.4880407171997
P6	24	IL4I1	13.2636116438755
