cohort	unit	target	spots	high_P4_spots	observed_neighbor_effect	null_median	excess_over_null	permutation_p	fdr_within_unit
TNBC94 extension	13	tcell_ifng_response	1165	292	0.00608009387434804	4.935058137923304e-05	0.006030743292968807	0.046476761619190406	0.18590704647676162
TNBC94 extension	13	tcell_progenitor	1165	292	0.0001438952683283437	0.000738540247770144	-0.0005946449794418003	0.8030984507746127	0.8030984507746127
TNBC94 extension	14	cd8_cytotoxic	484	121	0.04695282782903043	0.008855191470962476	0.038097636358067954	0.0004997501249375312	0.0009995002498750624
TNBC94 extension	14	tcell_exhaustion	484	121	0.007986098224627924	0.000531359514784932	0.007454738709842992	0.13893053473263367	0.13893053473263367
TNBC94 extension	14	tcell_ifng_response	484	121	0.036130553648299146	0.00045780695094199686	0.03567274669735715	0.0034982508745627187	0.004664334499416958
TNBC94 extension	14	tcell_progenitor	484	121	0.06131291980181275	0.01798699557910466	0.04332592422270809	0.0004997501249375312	0.0009995002498750624
TNBC94 extension	15	cd8_cytotoxic	1327	332	0.11955411514399014	0.04876593064062673	0.07078818450336341	0.0004997501249375312	0.0004997501249375312
TNBC94 extension	15	tcell_exhaustion	1327	332	0.051111219656002405	0.01971182694699289	0.031399392709009516	0.0004997501249375312	0.0004997501249375312
TNBC94 extension	15	tcell_ifng_response	1327	332	0.07651467410574858	0.01866490066913279	0.05784977343661579	0.0004997501249375312	0.0004997501249375312
TNBC94 extension	15	tcell_progenitor	1327	332	0.11519227656176184	0.040351887012571225	0.07484038954919062	0.0004997501249375312	0.0004997501249375312
TNBC94 extension	16	cd8_cytotoxic	1350	338	0.024313762407969966	0.005272296938029837	0.01904146546994013	0.0009995002498750624	0.00399800099950025
TNBC94 extension	16	tcell_exhaustion	1350	338	0.010486716770497076	-9.513171361300032e-05	0.010581848484110076	0.0029985007496251873	0.00399800099950025
TNBC94 extension	16	tcell_ifng_response	1350	338	0.011230207674411491	0.0008286289059300928	0.010401578768481398	0.02498750624687656	0.02498750624687656
TNBC94 extension	16	tcell_progenitor	1350	338	0.021038501844658303	0.0032699410883705385	0.017768560756287764	0.0029985007496251873	0.00399800099950025
TNBC94 extension	19	cd8_cytotoxic	1359	340	0.011062354417892363	0.0017082510851860223	0.00935410333270634	0.01999000499750125	0.0399800099950025
TNBC94 extension	19	tcell_exhaustion	1359	340	0.006460736372000224	0.0013266133084767484	0.0051341230635234755	0.04147926036981509	0.05530568049308679
TNBC94 extension	19	tcell_ifng_response	1359	340	0.01974904579125658	0.005175590702725358	0.014573455088531223	0.019490254872563718	0.0399800099950025
TNBC94 extension	19	tcell_progenitor	1359	340	0.012902955946434647	0.003273102738020714	0.009629853208413933	0.17541229385307347	0.17541229385307347
TNBC94 extension	20	cd8_cytotoxic	1441	361	0.07942116860567588	0.00847861994179297	0.07094254866388292	0.0004997501249375312	0.0004997501249375312
TNBC94 extension	20	tcell_exhaustion	1441	361	0.030001445138527316	0.0037681461720850407	0.026233298966442276	0.0004997501249375312	0.0004997501249375312
TNBC94 extension	20	tcell_ifng_response	1441	361	0.08244394876392469	0.002596048094615	0.07984790066930969	0.0004997501249375312	0.0004997501249375312
TNBC94 extension	20	tcell_progenitor	1441	361	0.04614842549782794	0.009677146564457034	0.036471278933370904	0.0004997501249375312	0.0004997501249375312
