validation_program	rank	gene	loading
V4	40	G0S2	9.04317441758988
V4	41	HSPA1B	8.82266737626997
V4	42	CCL4L2	8.77483544323163
V4	43	IFI27	8.60531890392795
V4	44	HMGB2	8.49674642084719
V4	45	IL1B	8.0476109301169
V4	46	CD1E	8.03633463088831
V4	47	XBP1	7.98221977567032
V4	48	PLAC8	7.90671475988541
V4	49	PMAIP1	7.81923351587155
V4	50	RGCC	7.54622786489137
V5	1	SPP1	43.3631326612348
V5	2	CXCL8	36.8719670598134
V5	3	S100A9	35.0254164285678
V5	4	LYZ	34.7165156740295
V5	5	S100A8	33.7176455159046
V5	6	CCL3	30.1435106987462
V5	7	CTSB	29.5558204877804
V5	8	MT2A	27.4054345121667
V5	9	IL1B	26.9995643934511
V5	10	CXCL2	26.359988460756
V5	11	FN1	26.2578375308674
V5	12	PLIN2	25.2083620903419
V5	13	CTSD	23.7379504894191
V5	14	TIMP1	23.6670553313851
V5	15	VCAN	22.8201438248927
V5	16	CSTB	22.3298545567735
V5	17	CXCL3	22.250496790824
V5	18	CCL2	19.07610193561
V5	19	CCL4	18.762387812581
V5	20	IGKC	18.4138946396154
V5	21	CTSL	18.1931051513978
V5	22	CD52	17.0558951893504
V5	23	MARCO	16.2732998210881
V5	24	G0S2	16.0105913402762
V5	25	RNASE1	15.6178988936516
V5	26	CCL20	15.4787196323591
V5	27	EREG	15.243354042381
V5	28	IL1RN	14.9678892404354
V5	29	EGR1	13.5440277419004
V5	30	ALOX5AP	13.0023297279797
V5	31	FBP1	12.7993564786083
V5	32	FABP5	12.3434753266763
V5	33	THBD	12.0204182907381
V5	34	LGALS3	11.9013128354602
V5	35	CCL4L2	11.2243520528753
V5	36	AREG	10.9150009313206
V5	37	FCN1	10.701212538139
V5	38	GPNMB	10.5690072876017
V5	39	RGCC	10.4636930096951
V5	40	TXN	10.2375214915648
V5	41	CD36	9.91473220679454
V5	42	CCL3L1	9.80451515002385
V5	43	CCL7	9.11643007330446
V5	44	IFIT3	8.76012325372086
V5	45	H2AFZ	8.4685235570595
V5	46	MT1X	8.30132086517837
V5	47	HMOX1	8.16709844588374
V5	48	TFRC	8.11072904955025
V5	49	ZFP36	8.07156339250439
V5	50	PTGS2	7.89836912528872
