validation_program	rank	gene	loading
B4	29	HSPH1	0.5138279860214265
B4	30	FCN1	0.4720121866849533
B4	31	LPL	0.46984419422993734
B4	32	FABP3	0.46732575419248906
B4	33	CHIT1	0.4536574452978678
B4	34	CTNNB1	0.4314363083740353
B4	35	HAMP	0.4073794778945941
B4	36	MARCO	0.3929948393815055
B4	37	GEM	0.3861966818965932
B4	38	HLA-DQB2	0.36570314882754307
B4	39	MT2A	0.35916764775962984
B4	40	SH3BP1	0.35862406558010385
B4	41	IL32	0.34614064746558504
B4	42	CHCHD6	0.34509108066099625
B4	43	UBD	0.34341803378095986
B4	44	RAB42	0.3289473071427646
B4	45	PLA2G2D	0.31823522795539444
B4	46	SELENOP	0.311240931745416
B4	47	CLEC10A	0.3023847439083168
B4	48	HIST1H4C	0.2580647218164102
B4	49	C3	0.2545663115154921
B4	50	TSC22D2	0.25400812075363405
B5	1	MT2A	5.306810253518761
B5	2	MT1X	3.6819708809346006
B5	3	NUPR1	3.2392663518534
B5	4	MT1G	3.076117438877371
B5	5	MT1E	1.9886201363213232
B5	6	MT1F	1.9776037989335875
B5	7	MT1H	1.9019957517296995
B5	8	SLC2A3	1.6351439043070926
B5	9	FN1	1.5875993252424714
B5	10	HSPB1	1.4654711714578903
B5	11	CRIP1	1.4329295468278762
B5	12	HK2	1.2958107425879204
B5	13	ADM	1.289730546432801
B5	14	SLC2A1	1.1417434625137337
B5	15	HMOX1	1.1363272261100028
B5	16	MT1M	0.9920014276182445
B5	17	CCL5	0.9600075730369411
B5	18	FCGR2B	0.8869319429209263
B5	19	SCD	0.8294005033011863
B5	20	CCL2	0.7933064747732909
B5	21	MMP9	0.768829796564924
B5	22	TIMP1	0.7685472076998089
B5	23	MMP12	0.7123717381386447
B5	24	HSPH1	0.7096788963864783
B5	25	MARCO	0.6978689050636415
B5	26	CXCL3	0.6946353971172075
B5	27	FBP1	0.6875927200255707
B5	28	DDIT4	0.684138906283214
B5	29	VCAN	0.6832644667719091
B5	30	S100A8	0.6441428203998648
B5	31	RCAN1	0.6277994619169284
B5	32	CCL20	0.6266177737602072
B5	33	CCL7	0.5548634737692022
B5	34	GEM	0.5443283422390868
B5	35	RAB42	0.5188779046135162
B5	36	CD52	0.5084966981827616
B5	37	HILPDA	0.506087537306998
B5	38	HIF1A-AS3	0.4931826760440216
B5	39	G0S2	0.48753114748463355
B5	40	CXCL1	0.47191265149022577
B5	41	RSAD2	0.446449502954536
B5	42	INHBA	0.4431643410137474
B5	43	APOC2	0.41506158857275854
B5	44	MMP19	0.3777254677581707
B5	45	IFIT3	0.3714492553285451
B5	46	MGP	0.35439483814190204
B5	47	IFIT1	0.33494769804185553
B5	48	ANGPTL4	0.33424601672972953
B5	49	EREG	0.32716643846242693
B5	50	IL32	0.32370154155576003
B6	1	CXCL3	11.094584806762995
B6	2	IL1B	9.811879105909867
B6	3	G0S2	4.894369330191668
B6	4	CXCL1	3.654834339087302
B6	5	CCL20	3.613942166472857
B6	6	TNF	3.503899171477609
B6	7	MIR155HG	2.63682557735012
B6	8	TIMP1	2.3262310039393648
B6	9	MMP19	2.0781270955843487
B6	10	HMOX1	2.0555575543412137
B6	11	CCL2	1.8956781552093223
B6	12	INSIG1	1.7272887280633236
B6	13	AREG	1.4643723652295215
B6	14	SLC2A3	1.4523488845647807
B6	15	NLRP3	1.423593902895142
B6	16	EREG	1.2279070905218383
B6	17	IL10	1.1179369527946328
B6	18	CCL3L1	1.103012922065767
B6	19	FCGR2B	1.0624234964371357
B6	20	IL6	1.0280117988939428
B6	21	DDIT4	1.0273112889120941
B6	22	GEM	0.9616801367382798
B6	23	RCAN1	0.9268006675675043
B6	24	THBD	0.917704226988144
B6	25	IL1A	0.9005285195167145
B6	26	ADM	0.8212891312713624
B6	27	STMN1	0.8106928945861129
B6	28	CRIP1	0.7584987902965722
B6	29	FCGBP	0.6665838488250887
B6	30	S100A8	0.6637396037497385
B6	31	HSPH1	0.6139115693961845
B6	32	CD93	0.5683494184100287
B6	33	LYZ	0.5588443141721676
