validation_program	rank	gene	loading
B3	11	SAMSN1	1.3430207762774968
B3	12	S100A12	1.0220361429990443
B3	13	MCEMP1	0.852704412940097
B3	14	BIRC3	0.8262544714478618
B3	15	TXN	0.7686455608252306
B3	16	MT-ND6	0.7110891324791929
B3	17	CD36	0.7013673673617628
B3	18	TNFAIP6	0.6697508528265979
B3	19	MT2A	0.6321552713097575
B3	20	PTX3	0.6051133242679716
B3	21	THBS1	0.5706129350804654
B3	22	APOBEC3A	0.5221295214656132
B3	23	MARCKSL1	0.5147144640672063
B3	24	IL1A	0.5040136959669309
B3	25	RETN	0.5005772979186074
B3	26	TNF	0.4862947820640159
B3	27	MCTP1	0.4708346936706932
B3	28	MMP19	0.45950833794150386
B3	29	FABP5	0.42005103438129127
B3	30	SEC22B	0.3711998413269801
B3	31	ISG15	0.3643739093767483
B3	32	IL10	0.3629356217360145
B3	33	AC015912.3	0.33562348838375977
B3	34	PLAC8	0.3233686108520467
B3	35	ACOD1	0.3179162145523933
B3	36	HMOX1	0.3157369121127684
B3	37	SH3BP1	0.30529210913533894
B3	38	IL23A	0.29995625640783924
B3	39	STAB1	0.28715991675059116
B3	40	SERPINB2	0.2843126105188005
B3	41	EGR1	0.2735293631917218
B3	42	FPR2	0.26530733219294605
B3	43	FCER1A	0.2574904204934939
B3	44	CXCL1	0.25229799440802575
B3	45	MT1X	0.2514720885925154
B3	46	CD1C	0.22931019341256859
B3	47	AL138963.4	0.2263490549854626
B3	48	MGP	0.22601999509123735
B3	49	ERCC5	0.22002252352944868
B3	50	HCAR3	0.18020391983482734
B4	1	SPP1	7.855969268388944
B4	2	FABP5	3.342339899606748
B4	3	NUPR1	2.7586083942972346
B4	4	MT2A	2.4717945567279758
B4	5	CCL2	2.1121926013043537
B4	6	TXN	1.945005206824466
B4	7	HMOX1	1.881565613431365
B4	8	CXCL2	1.489682788453808
B4	9	MT1X	1.4737330409591494
B4	10	C1QA	1.471979101983867
B4	11	MMP9	1.265094322623276
B4	12	ISG15	1.1858954260608265
B4	13	C1QB	1.1764138924067555
B4	14	MT1G	1.1267064936383246
B4	15	MMP19	1.1155367616416103
B4	16	IL1RN	1.0374981043456581
B4	17	APOC2	0.9843809383798274
B4	18	CCL20	0.9357986276038522
B4	19	SCD	0.9246050077546643
B4	20	S100A9	0.907252622148977
B4	21	CXCL1	0.8644427163273788
B4	22	MT1F	0.819039449355925
B4	23	CCL7	0.7680562621119197
B4	24	CD36	0.7601296838811025
B4	25	MT1E	0.714733375786686
B4	26	HSPA1B	0.7139428651022726
B4	27	MT1H	0.6685853687137661
B4	28	CCL5	0.6270873599986418
B4	29	FABP4	0.5937875614750108
B4	30	HAMP	0.550572723394549
B4	31	CHI3L1	0.5199641780554377
B4	32	CCL18	0.4977924268398732
B4	33	RCAN1	0.48867625113365243
B4	34	MIR155HG	0.48722000182873654
B4	35	FABP3	0.46174685677068256
B4	36	TNF	0.43657829425423844
B4	37	MMP12	0.42878005786289053
B4	38	MT-ND6	0.40040815877092284
B4	39	CCL8	0.34382846523651117
B4	40	ARPC1A	0.34107394344159225
B4	41	MGP	0.3391522239355252
B4	42	RSAD2	0.33579355613631495
B4	43	CHIT1	0.32232586809919933
B4	44	IFIT1	0.3151485984480945
B4	45	MT1M	0.3070043215281271
B4	46	TNFAIP6	0.2838499352002278
B4	47	ANGPTL4	0.26638378067915425
B4	48	AC015912.3	0.25416534187881956
B4	49	SEC22B	0.2476355444115773
B4	50	HIST1H4C	0.22196745828019113
B5	1	CXCL10	3.32301292785607
B5	2	ISG15	2.2678822991621357
B5	3	MT2A	1.801829971040004
B5	4	TXN	1.7812214736053829
B5	5	CXCL9	1.7520621005895265
B5	6	C1QB	1.4792541165892408
B5	7	C1QA	1.3019878702449612
B5	8	IDO1	1.0798242265914
B5	9	CXCL11	1.0608332289908575
B5	10	MARCKSL1	0.9633687127615626
B5	11	CCL2	0.8874653055491092
B5	12	BIRC3	0.8421669112106798
B5	13	CCL8	0.8399276308474467
B5	14	IFIT2	0.7991054956337792
B5	15	IFIT1	0.7821191625603885
B5	16	UBD	0.7316318781585082
B5	17	RSAD2	0.7254178027141325
B5	18	SAMSN1	0.6703399081327073
B5	19	CCL5	0.6472125307644221
B5	20	APOBEC3A	0.5615431735311524
B5	21	FSCN1	0.5333145842086962
B5	22	HLA-DQB2	0.517270483007769
B5	23	MT-ND6	0.51652129035577
B5	24	CCR7	0.514439815379013
B5	25	CST7	0.4981978575410858
B5	26	AREG	0.491647969353202
B5	27	MIR155HG	0.4616387328904108
B5	28	LAMP3	0.44398992582016994
B5	29	FABP5	0.4139276636660654
B5	30	EBI3	0.3950950823284919
B5	31	CCL19	0.3895217911725076
B5	32	HSPA1B	0.3687204565979833
B5	33	PLAC8	0.35243490491766055
B5	34	IGKV4-1	0.31564406849435783
B5	35	IL1RN	0.3037529627092905
B5	36	CD1E	0.29320167051674256
B5	37	OLFML3	0.28302206307214217
B5	38	MMP9	0.27829318567783
B5	39	SH3BP1	0.2750061259584226
B5	40	MT1X	0.2725611292492522
B5	41	ARPC1A	0.264540392068065
B5	42	MCTP1	0.2584609644148005
B5	43	CD1C	0.24404248842499138
B5	44	NKG7	0.22021088422699783
B5	45	LTB	0.2115280463304437
B5	46	SPIB	0.20234006723940934
B5	47	CXCL13	0.19678888359211796
B5	48	GBP3	0.18331981028668665
B5	49	CCL22	0.1797404862930644
B5	50	IGKV3-20	0.17784482090268733
