section	target	spots	high_P4_spots	observed_neighbor_effect	null_median	permutation_p	alternative	P4_residual_r_squared	fdr_within_target
P5	malignant_epithelial	1816	454	-0.10394375138396761	-0.06891457448757565	0.06046976511744128	two-sided	0.3161321137835281	0.11754122938530735
P5	cd8_cytotoxic	1816	454	0.003853806297542379	0.0008254432841159889	0.026486756621689155	two-sided	0.3161321137835281	0.04237881059470265
P5	treg	1816	454	-0.0006880045711868295	0.00041360409043127155	0.46026986506746626	two-sided	0.3161321137835281	0.5260227029342471
P6	fibrovascular	2147	537	0.14480919943439258	0.03444245455057897	0.0004997501249375312	greater	0.28746533564154286	0.0006663334999167083
P6	fibroblast_ecm	2147	537	0.10908322282109939	0.03908217255035684	0.001999000499750125	two-sided	0.28746533564154286	0.0022845719997144284
P6	endothelial_angiogenic	2147	537	0.018612191304015313	0.00022644069417764034	0.001999000499750125	two-sided	0.28746533564154286	0.0031984007996002
P6	malignant_epithelial	2147	537	-0.05516162426616256	-0.07888846898761837	0.0734632683658171	two-sided	0.28746533564154286	0.11754122938530735
P6	cd8_cytotoxic	2147	537	0.0033871079372223105	0.0003046038441248608	0.0034982508745627187	two-sided	0.28746533564154286	0.0069965017491254375
P6	treg	2147	537	0.0014597347753296068	-0.0001727145049871346	0.09795102448775612	two-sided	0.28746533564154286	0.26120273196734967
P7	fibrovascular	2798	700	-0.0655345709676437	0.024328287149004528	1.0	greater	0.1469107214320684	1.0
P7	fibroblast_ecm	2798	700	-0.05856201763967084	0.012331211666784192	0.0004997501249375312	two-sided	0.1469107214320684	0.0006663334999167083
P7	endothelial_angiogenic	2798	700	0.00510302111661376	0.00430945916123901	0.8725637181409296	two-sided	0.1469107214320684	0.9035482258870565
P7	malignant_epithelial	2798	700	-0.02554416266208137	-0.026521977569380795	0.9110444777611194	two-sided	0.1469107214320684	0.9110444777611194
P7	cd8_cytotoxic	2798	700	0.027518595261580223	0.004493480930706367	0.0004997501249375312	two-sided	0.1469107214320684	0.0013326669998334165
P7	treg	2798	700	0.004904418290562658	0.0005913767739894951	0.06446776611694154	two-sided	0.1469107214320684	0.25787106446776614
P8	fibrovascular	3241	811	0.13239233735351177	0.007594791461324555	0.0004997501249375312	greater	0.24379842729892964	0.0006663334999167083
P8	fibroblast_ecm	3241	811	0.11838295848448555	0.007722168651488781	0.0004997501249375312	two-sided	0.24379842729892964	0.0006663334999167083
P8	endothelial_angiogenic	3241	811	0.0020565718894839935	-0.00018044871748695845	0.39980009995002497	two-sided	0.24379842729892964	0.5330667999333666
P8	malignant_epithelial	3241	811	0.0807500863942352	0.019538365802771795	0.0004997501249375312	two-sided	0.24379842729892964	0.00399800099950025
P8	cd8_cytotoxic	3241	811	0.0031176074886396683	0.0007417920484051443	0.033483258370814596	two-sided	0.24379842729892964	0.04464434449441946
