cohort	unit	setting	neighbors	high_fraction	covariates	permutation_stratified	excess_over_null
TNBC94 extension	2	residual_macrophage_depth	6	0.25	macrophage_identity;log1p_umi	True	-0.030697658336251137
TNBC94 extension	2	residual_depth_only	6	0.25	log1p_umi	True	0.005806939059559342
TNBC94 extension	2	residual_plus_fibroblast	6	0.25	macrophage_identity;hypoxia;log1p_umi;fibroblast_ecm	True	-0.02561733197286408
TNBC94 extension	2	unstratified_permutation	6	0.25	macrophage_identity;hypoxia;log1p_umi	False	0.06543515948447053
TNBC94 extension	3	neighbors_k4	4	0.25	macrophage_identity;hypoxia;log1p_umi	True	0.1980046199933575
TNBC94 extension	3	neighbors_k6	6	0.25	macrophage_identity;hypoxia;log1p_umi	True	0.2131447051932133
TNBC94 extension	3	neighbors_k8	8	0.25	macrophage_identity;hypoxia;log1p_umi	True	0.20136498989375923
TNBC94 extension	3	neighbors_k12	12	0.25	macrophage_identity;hypoxia;log1p_umi	True	0.21554915185523188
TNBC94 extension	3	high_fraction_0.20	6	0.2	macrophage_identity;hypoxia;log1p_umi	True	0.2622479792357182
TNBC94 extension	3	high_fraction_0.25	6	0.25	macrophage_identity;hypoxia;log1p_umi	True	0.2131447051932133
TNBC94 extension	3	high_fraction_0.33	6	0.33	macrophage_identity;hypoxia;log1p_umi	True	0.19852918239986925
TNBC94 extension	3	residual_macrophage_depth	6	0.25	macrophage_identity;log1p_umi	True	0.2392359627808326
TNBC94 extension	3	residual_depth_only	6	0.25	log1p_umi	True	0.3877694124280259
TNBC94 extension	3	residual_plus_fibroblast	6	0.25	macrophage_identity;hypoxia;log1p_umi;fibroblast_ecm	True	0.17874742114917608
TNBC94 extension	3	unstratified_permutation	6	0.25	macrophage_identity;hypoxia;log1p_umi	False	0.208176800392897
TNBC94 extension	4	neighbors_k4	4	0.25	macrophage_identity;hypoxia;log1p_umi	True	0.12201072851955577
TNBC94 extension	4	neighbors_k6	6	0.25	macrophage_identity;hypoxia;log1p_umi	True	0.10660520888180373
TNBC94 extension	4	neighbors_k8	8	0.25	macrophage_identity;hypoxia;log1p_umi	True	0.11811456769573538
TNBC94 extension	4	neighbors_k12	12	0.25	macrophage_identity;hypoxia;log1p_umi	True	0.12229004484585446
TNBC94 extension	4	high_fraction_0.20	6	0.2	macrophage_identity;hypoxia;log1p_umi	True	0.09817762824753654
TNBC94 extension	4	high_fraction_0.25	6	0.25	macrophage_identity;hypoxia;log1p_umi	True	0.10660520888180373
TNBC94 extension	4	high_fraction_0.33	6	0.33	macrophage_identity;hypoxia;log1p_umi	True	0.11455196509348678
TNBC94 extension	4	residual_macrophage_depth	6	0.25	macrophage_identity;log1p_umi	True	0.10553698396844693
TNBC94 extension	4	residual_depth_only	6	0.25	log1p_umi	True	0.20853747366291808
TNBC94 extension	4	residual_plus_fibroblast	6	0.25	macrophage_identity;hypoxia;log1p_umi;fibroblast_ecm	True	0.06596308454860694
TNBC94 extension	4	unstratified_permutation	6	0.25	macrophage_identity;hypoxia;log1p_umi	False	0.16730476734807334
TNBC94 extension	5	neighbors_k4	4	0.25	macrophage_identity;hypoxia;log1p_umi	True	-0.10420117811690031
TNBC94 extension	5	neighbors_k6	6	0.25	macrophage_identity;hypoxia;log1p_umi	True	-0.10817883151217825
TNBC94 extension	5	neighbors_k8	8	0.25	macrophage_identity;hypoxia;log1p_umi	True	-0.10666990212062033
TNBC94 extension	5	neighbors_k12	12	0.25	macrophage_identity;hypoxia;log1p_umi	True	-0.11049384710922501
TNBC94 extension	5	high_fraction_0.20	6	0.2	macrophage_identity;hypoxia;log1p_umi	True	-0.15330448902719712
TNBC94 extension	5	high_fraction_0.25	6	0.25	macrophage_identity;hypoxia;log1p_umi	True	-0.10817883151217825
TNBC94 extension	5	high_fraction_0.33	6	0.33	macrophage_identity;hypoxia;log1p_umi	True	-0.08413606927058581
TNBC94 extension	5	residual_macrophage_depth	6	0.25	macrophage_identity;log1p_umi	True	-0.1110930472322802
TNBC94 extension	5	residual_depth_only	6	0.25	log1p_umi	True	-0.10447570341841667
TNBC94 extension	5	residual_plus_fibroblast	6	0.25	macrophage_identity;hypoxia;log1p_umi;fibroblast_ecm	True	-0.10499200687846343
TNBC94 extension	5	unstratified_permutation	6	0.25	macrophage_identity;hypoxia;log1p_umi	False	-0.1312670205944226
TNBC94 extension	6	neighbors_k4	4	0.25	macrophage_identity;hypoxia;log1p_umi	True	0.032530036898591366
TNBC94 extension	6	neighbors_k6	6	0.25	macrophage_identity;hypoxia;log1p_umi	True	0.05516996406276124
TNBC94 extension	6	neighbors_k8	8	0.25	macrophage_identity;hypoxia;log1p_umi	True	0.04001083235219373
TNBC94 extension	6	neighbors_k12	12	0.25	macrophage_identity;hypoxia;log1p_umi	True	0.025174595194875596
TNBC94 extension	6	high_fraction_0.20	6	0.2	macrophage_identity;hypoxia;log1p_umi	True	0.09449141953544409
TNBC94 extension	6	high_fraction_0.25	6	0.25	macrophage_identity;hypoxia;log1p_umi	True	0.05516996406276124
TNBC94 extension	6	high_fraction_0.33	6	0.33	macrophage_identity;hypoxia;log1p_umi	True	0.07309219500719227
TNBC94 extension	6	residual_macrophage_depth	6	0.25	macrophage_identity;log1p_umi	True	0.04325168498172971
TNBC94 extension	6	residual_depth_only	6	0.25	log1p_umi	True	0.2044766655864777
TNBC94 extension	6	residual_plus_fibroblast	6	0.25	macrophage_identity;hypoxia;log1p_umi;fibroblast_ecm	True	0.06438218705562038
TNBC94 extension	6	unstratified_permutation	6	0.25	macrophage_identity;hypoxia;log1p_umi	False	0.04157336183122952
TNBC94 extension	7	neighbors_k4	4	0.25	macrophage_identity;hypoxia;log1p_umi	True	0.06651655765770306
TNBC94 extension	7	neighbors_k6	6	0.25	macrophage_identity;hypoxia;log1p_umi	True	0.07242489592866888
TNBC94 extension	7	neighbors_k8	8	0.25	macrophage_identity;hypoxia;log1p_umi	True	0.09226467224006425
TNBC94 extension	7	neighbors_k12	12	0.25	macrophage_identity;hypoxia;log1p_umi	True	0.06582911477052426
TNBC94 extension	7	high_fraction_0.20	6	0.2	macrophage_identity;hypoxia;log1p_umi	True	0.08071604932625617
TNBC94 extension	7	high_fraction_0.25	6	0.25	macrophage_identity;hypoxia;log1p_umi	True	0.07242489592866888
TNBC94 extension	7	high_fraction_0.33	6	0.33	macrophage_identity;hypoxia;log1p_umi	True	0.06869730214050569
TNBC94 extension	7	residual_macrophage_depth	6	0.25	macrophage_identity;log1p_umi	True	0.05960325625982135
TNBC94 extension	7	residual_depth_only	6	0.25	log1p_umi	True	0.15569997552704867
TNBC94 extension	7	residual_plus_fibroblast	6	0.25	macrophage_identity;hypoxia;log1p_umi;fibroblast_ecm	True	0.02124577043627976
TNBC94 extension	7	unstratified_permutation	6	0.25	macrophage_identity;hypoxia;log1p_umi	False	0.1242352038052045
TNBC94 extension	8	neighbors_k4	4	0.25	macrophage_identity;hypoxia;log1p_umi	True	-0.012797611611280846
TNBC94 extension	8	neighbors_k6	6	0.25	macrophage_identity;hypoxia;log1p_umi	True	0.014299592824368566
TNBC94 extension	8	neighbors_k8	8	0.25	macrophage_identity;hypoxia;log1p_umi	True	0.013313484940035827
TNBC94 extension	8	neighbors_k12	12	0.25	macrophage_identity;hypoxia;log1p_umi	True	0.014704282379104247
TNBC94 extension	8	high_fraction_0.20	6	0.2	macrophage_identity;hypoxia;log1p_umi	True	-0.014347777815297648
TNBC94 extension	8	high_fraction_0.25	6	0.25	macrophage_identity;hypoxia;log1p_umi	True	0.014299592824368566
TNBC94 extension	8	high_fraction_0.33	6	0.33	macrophage_identity;hypoxia;log1p_umi	True	0.02692428513309104
TNBC94 extension	8	residual_macrophage_depth	6	0.25	macrophage_identity;log1p_umi	True	-0.010147257816374624
TNBC94 extension	8	residual_depth_only	6	0.25	log1p_umi	True	0.014297343418927494
TNBC94 extension	8	residual_plus_fibroblast	6	0.25	macrophage_identity;hypoxia;log1p_umi;fibroblast_ecm	True	-0.0717122716530221
