cohort	treatment	subcluster	cells
Patient09	RTPD1	myeloid_02	2
Patient09	RTPD1	myeloid_03	24
Patient09	RTPD1	myeloid_04	150
Patient09	RTPD1	myeloid_05	26
Patient09	RTPD1	myeloid_06	2
Patient09	RTPD1	myeloid_07	63
Patient09	RTPD1	myeloid_08	37
Patient09	RTPD1	myeloid_09	91
Patient09	RTPD1	myeloid_10	2
Patient09	RTPD1	myeloid_11	590
Patient10	Base	myeloid_00	32
Patient10	Base	myeloid_01	1050
Patient10	Base	myeloid_02	62
Patient10	Base	myeloid_03	852
Patient10	Base	myeloid_04	326
Patient10	Base	myeloid_05	328
Patient10	Base	myeloid_06	194
Patient10	Base	myeloid_07	25
Patient10	Base	myeloid_08	32
Patient10	Base	myeloid_09	98
Patient10	Base	myeloid_10	21
Patient10	Base	myeloid_11	387
Patient10	PD1	myeloid_00	9
Patient10	PD1	myeloid_01	541
Patient10	PD1	myeloid_02	12
Patient10	PD1	myeloid_03	162
Patient10	PD1	myeloid_04	704
Patient10	PD1	myeloid_05	101
Patient10	PD1	myeloid_06	75
Patient10	PD1	myeloid_07	21
Patient10	PD1	myeloid_08	29
Patient10	PD1	myeloid_09	107
Patient10	PD1	myeloid_10	18
Patient10	PD1	myeloid_11	204
Patient10	RTPD1	myeloid_00	38
Patient10	RTPD1	myeloid_01	2996
Patient10	RTPD1	myeloid_02	49
Patient10	RTPD1	myeloid_03	109
Patient10	RTPD1	myeloid_04	1461
Patient10	RTPD1	myeloid_05	493
Patient10	RTPD1	myeloid_06	29
Patient10	RTPD1	myeloid_07	31
Patient10	RTPD1	myeloid_08	9
Patient10	RTPD1	myeloid_09	104
Patient10	RTPD1	myeloid_10	48
Patient10	RTPD1	myeloid_11	1027
Patient11	Base	myeloid_00	1
Patient11	Base	myeloid_01	3
Patient11	Base	myeloid_03	27
Patient11	Base	myeloid_04	7
Patient11	Base	myeloid_05	5
Patient11	Base	myeloid_06	2
Patient11	Base	myeloid_07	4
Patient11	Base	myeloid_08	3
Patient11	Base	myeloid_09	24
Patient11	Base	myeloid_11	13
Patient11	PD1	myeloid_00	322
Patient11	PD1	myeloid_01	11
Patient11	PD1	myeloid_03	54
Patient11	PD1	myeloid_04	38
Patient11	PD1	myeloid_05	21
Patient11	PD1	myeloid_06	2
Patient11	PD1	myeloid_07	11
Patient11	PD1	myeloid_08	4
Patient11	PD1	myeloid_09	61
Patient11	PD1	myeloid_10	42
Patient11	PD1	myeloid_11	119
Patient11	RTPD1	myeloid_00	5
Patient11	RTPD1	myeloid_01	89
Patient11	RTPD1	myeloid_03	32
Patient11	RTPD1	myeloid_04	117
Patient11	RTPD1	myeloid_05	1
Patient11	RTPD1	myeloid_07	2
Patient11	RTPD1	myeloid_08	2
Patient11	RTPD1	myeloid_09	26
Patient11	RTPD1	myeloid_10	32
Patient11	RTPD1	myeloid_11	341
Patient12	Base	myeloid_00	19
Patient12	Base	myeloid_01	22
Patient12	Base	myeloid_02	145
Patient12	Base	myeloid_03	383
Patient12	Base	myeloid_04	96
Patient12	Base	myeloid_05	22
Patient12	Base	myeloid_06	51
Patient12	Base	myeloid_07	64
Patient12	Base	myeloid_08	23
Patient12	Base	myeloid_09	96
Patient12	Base	myeloid_10	16
Patient12	Base	myeloid_11	646
Patient12	PD1	myeloid_00	4
Patient12	PD1	myeloid_01	44
Patient12	PD1	myeloid_02	5
Patient12	PD1	myeloid_03	456
Patient12	PD1	myeloid_04	255
Patient12	PD1	myeloid_05	12
Patient12	PD1	myeloid_06	30
Patient12	PD1	myeloid_07	50
Patient12	PD1	myeloid_08	23
Patient12	PD1	myeloid_09	150
Patient12	PD1	myeloid_11	531
Patient12	RTPD1	myeloid_00	37
Patient12	RTPD1	myeloid_01	72
Patient12	RTPD1	myeloid_02	15
Patient12	RTPD1	myeloid_03	433
Patient12	RTPD1	myeloid_04	507
Patient12	RTPD1	myeloid_05	8
Patient12	RTPD1	myeloid_06	3
Patient12	RTPD1	myeloid_07	61
Patient12	RTPD1	myeloid_08	80
Patient12	RTPD1	myeloid_09	250
Patient12	RTPD1	myeloid_10	30
Patient12	RTPD1	myeloid_11	997
Patient15	Base	myeloid_00	1
Patient15	Base	myeloid_01	8
Patient15	Base	myeloid_03	20
Patient15	Base	myeloid_04	5
Patient15	Base	myeloid_05	2
Patient15	Base	myeloid_06	1
Patient15	Base	myeloid_07	2
Patient15	Base	myeloid_08	1
Patient15	Base	myeloid_09	11
Patient15	Base	myeloid_11	6
Patient15	PD1	myeloid_00	2225
Patient15	PD1	myeloid_01	64
Patient15	PD1	myeloid_02	14
Patient15	PD1	myeloid_03	95
Patient15	PD1	myeloid_04	77
Patient15	PD1	myeloid_05	194
Patient15	PD1	myeloid_06	148
Patient15	PD1	myeloid_07	10
Patient15	PD1	myeloid_08	7
Patient15	PD1	myeloid_09	60
Patient15	PD1	myeloid_10	168
Patient15	PD1	myeloid_11	148
Patient15	RTPD1	myeloid_00	62
Patient15	RTPD1	myeloid_01	51
Patient15	RTPD1	myeloid_02	1
Patient15	RTPD1	myeloid_03	17
Patient15	RTPD1	myeloid_04	32
Patient15	RTPD1	myeloid_05	22
Patient15	RTPD1	myeloid_06	39
Patient15	RTPD1	myeloid_08	3
Patient15	RTPD1	myeloid_09	6
Patient15	RTPD1	myeloid_10	6
Patient15	RTPD1	myeloid_11	46
Patient16	Base	myeloid_00	1
Patient16	Base	myeloid_01	37
Patient16	Base	myeloid_03	68
Patient16	Base	myeloid_04	10
Patient16	Base	myeloid_05	9
Patient16	Base	myeloid_07	43
Patient16	Base	myeloid_08	27
Patient16	Base	myeloid_09	75
Patient16	Base	myeloid_10	1
Patient16	Base	myeloid_11	111
Patient16	PD1	myeloid_01	59
Patient16	PD1	myeloid_02	4
Patient16	PD1	myeloid_03	116
Patient16	PD1	myeloid_04	21
Patient16	PD1	myeloid_05	36
Patient16	PD1	myeloid_06	3
Patient16	PD1	myeloid_07	123
Patient16	PD1	myeloid_08	85
Patient16	PD1	myeloid_09	211
Patient16	PD1	myeloid_10	6
Patient16	PD1	myeloid_11	795
Patient16	RTPD1	myeloid_00	4
Patient16	RTPD1	myeloid_01	10
Patient16	RTPD1	myeloid_02	3
Patient16	RTPD1	myeloid_03	14
Patient16	RTPD1	myeloid_04	143
Patient16	RTPD1	myeloid_05	4
