validation_program	rank	gene	loading
A3	26	TTC3	0.43517724883701475
A3	27	CAMK1D	0.41989089978604677
A3	28	MGP	0.4071145632996411
A3	29	SNRPF	0.4068075332248268
A3	30	SMARCA2	0.37812250797834795
A3	31	ETV5	0.35865458570910713
A3	32	SPRY1	0.3493779026303249
A3	33	STX7	0.33430504733581734
A3	34	FAM134C	0.32991987784012217
A3	35	CD93	0.328130390953486
A3	36	CLDN1	0.31179509275371814
A3	37	PSMC5	0.3115905536755516
A3	38	MLLT6	0.29729249069537894
A3	39	SLC11A2	0.29712940420280476
A3	40	MAP3K11	0.2954747383367303
A3	41	CPM	0.2926994350378154
A3	42	ADGRG1	0.29076373042732323
A3	43	LTBP3	0.28955261540252003
A3	44	VMA21	0.28426595355825973
A3	45	SSH2	0.2840029534516965
A3	46	PDCD6	0.2735460944555147
A3	47	GAS6	0.2713339300970869
A3	48	ATP5J2	0.2665289956754048
A3	49	ZRANB2	0.252206410509525
A3	50	CIZ1	0.24846695127757193
A4	1	SPP1	6.390994417801912
A4	2	FN1	5.176915485868626
A4	3	FTH1	4.6871774700113535
A4	4	ACP5	3.416467967810414
A4	5	HMOX1	1.7140734189570956
A4	6	CCL3	1.665864239889735
A4	7	FABP5	1.6347858231156054
A4	8	VAT1	1.5716193412329975
A4	9	TIMP3	1.5308628444374623
A4	10	CYP27A1	1.432800962642013
A4	11	CHI3L1	1.2869313471972477
A4	12	IFI27	1.2539156697739653
A4	13	FABP4	1.2457234532129766
A4	14	IL1RN	1.2073261463562661
A4	15	CPM	1.1488917481567569
A4	16	NUPR1	1.1124158284992507
A4	17	CCL4	1.0697801863286416
A4	18	CD82	1.0194682823488825
A4	19	ATP5J2	0.9377188585934615
A4	20	PLTP	0.8792672390764342
A4	21	TXNIP	0.8309374134834198
A4	22	HTRA1	0.6928122592663878
A4	23	BLVRB	0.6823136737541661
A4	24	CCL18	0.634350592154994
A4	25	S100A9	0.5575548797189271
A4	26	MRPL51	0.5088859720158141
A4	27	NDUFAF3	0.5041975257773148
A4	28	PARVB	0.4978938174500592
A4	29	FUOM	0.48358016026842826
A4	30	ISG15	0.45311365444915774
A4	31	NAGLU	0.45160652600055906
A4	32	TM9SF3	0.41428173960289144
A4	33	PAPOLA	0.4127283389189206
A4	34	CXCL8	0.4116339620809515
A4	35	PDCD6	0.3961157636097903
A4	36	IFI27L2	0.39063789369190655
A4	37	CCL2	0.38088609508253435
A4	38	GNA13	0.3671518962410228
A4	39	GAL3ST4	0.35818659512796913
A4	40	SLC7A8	0.3402339527245273
A4	41	STX7	0.33997530090360917
A4	42	PXDC1	0.3394529388834275
A4	43	GALM	0.3277438690910214
A4	44	NDUFA3	0.3254140563924674
A4	45	ACOX1	0.3160343093438229
A4	46	GLYR1	0.3052526164324694
A4	47	ITPRIPL2	0.3041338194821593
A4	48	WDFY4	0.3036893845686742
A4	49	ST3GAL5	0.29948990279072396
A4	50	SLC8B1	0.2979965014678701
A5	1	RNASE1	4.945923630295906
A5	2	SEPP1	4.598794747835442
A5	3	PLTP	3.453322906333209
A5	4	FOLR2	2.010124923110487
A5	5	F13A1	1.7464248267541018
A5	6	MRC1	1.5961259548846292
A5	7	SLC40A1	1.4273956849863376
A5	8	FTH1	1.2737047454598815
A5	9	LYVE1	1.1869730850202387
A5	10	STAB1	1.156188505249987
A5	11	BLVRB	0.8759247623507876
A5	12	CD209	0.7711702910529544
A5	13	GAS6	0.7693311826284948
A5	14	CPM	0.75799954238333
A5	15	TMEM37	0.5873525541842636
A5	16	HSPA1A	0.5507042387000969
A5	17	ITSN1	0.5171043862791546
A5	18	CCL3	0.4930189286240552
A5	19	TXNIP	0.43573845351983337
A5	20	CCDC152	0.43054097826743737
A5	21	EMB	0.3948543296086136
A5	22	DUSP6	0.38768696571163647
A5	23	VAT1	0.37632357921049
A5	24	CEBPD	0.37224165350879784
A5	25	HMOX1	0.3587411753803445
A5	26	CCL4	0.358714959243004
A5	27	FOXRED2	0.33808969145749984
A5	28	COL1A1	0.31281417877110285
A5	29	BLVRA	0.31048274425518196
A5	30	CXCL8	0.2853140843629936
A5	31	CD93	0.27445742235567866
A5	32	FABP4	0.2618022141159053
A5	33	SLC7A8	0.24797721144173296
A5	34	IFI27	0.242339047550193
A5	35	CCL18	0.23918508649412581
A5	36	ABCA6	0.23416270091857813
A5	37	CCL3L3	0.2186832176824715
A5	38	FKBP8	0.21430055246929075
A5	39	PIK3C2A	0.2088812821668348
A5	40	FBXO18	0.20517408768161982
A5	41	ACP5	0.19249500944638487
A5	42	NR1H2	0.1876431045753441
A5	43	STX7	0.1851150286234282
A5	44	CCL2	0.18108045174259954
A5	45	KCNQ1	0.18016150578465062
A5	46	ITPRIPL2	0.17906526808279075
A5	47	MGP	0.17575099412327097
A5	48	DSC2	0.1754400264915998
A5	49	CD82	0.17208607757194117
A5	50	CCL8	0.17104122721416903
